=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:41:50 =~=~=~=~=~=~=~=~=~=~=~=
80;  +195;  -526; -4414;  -530
  +759; +3992;  +295;  -508; -4575;  -539
  +793; +3977;  +290;  -541; -4676;  -547
  +828; +3983;  +151;  -545; -4831;  -541
  +865; +3980;  +118;  -565; -4955;  -552
  +892; +3985;  +222;  -557; -5050;  -552
  +894; +4009;  +115;  -575; -5168;  -551
  +859; +3982;   +71;  -543; -5291;  -556
  +796; +4010;  +154;  -562; -5389;  -563
  +793; +4000;  +226;  -578; -5443;  -574
  +809; +4004;   +63;  -606; -5549;  -549
  +789; +3989;   +99;  -623; -5618;  -562
  +817; +3997;  +197;  -618; -5692;  -563
  +832; +3984;  +120;  -626; -5725;  -565
  +844; +3988;   +42;  -622; -5798;  -567
  +831; +3974;  +104;  -632; -5819;  -567
  +820; +3993;   +77;  -643; -5849;  -560
  +814; +3993;   +36;  -647; -5891;  -569
  +822; +3994;   +51;  -650; -5918;  -562
  +802; +3993;   +59;  -643; -5919;  -542
  +817; +4012;   +16;  -630; -5900;  -552
  +931; +4107;   +45;  -634; -5816;  -568
 +1105; +3928;   +16;  -578; -5668;  -527
  +527; +3967;   +76;  -555; -5604;  -518
  +286; +4018;  +250;  -584; -5446;  -515
  +154; +4020;  +192;  -558; -5353;  -462
  +231; +3992;  +241;  -626; -5222;  -483
  +873; +3935;  +184;  -635; -5119;  -455
 +1058; +4004;  +148;  -650; -5085;  -464
 +1376; +3959;   +92;  -687; -4997;  -491
 +1473; +3956;   -53;  -597; -5001;  -484
 +1124; +4013;  -128;  -607; -4973;  -506
  +937; +3985;  -170;  -557; -4977;  -508
  +529; +4000;  -220;  -561; -5005;  -529
  +461; +4001;  -106;  -568; -5036;  -521
  +697; +3974;   +30;  -560; -5081;  -509
  +894; +4009;   +23;  -593; -5146;  -536
 +1272; +3955;  +102;  -586; -5215;  -528
 +1278; +3966;  +165;  -558; -5289;  -527
 +1178; +3978;  +337;  -568; -5325;  -552
  +864; +3995;  +341;  -532; -5374;  -547
  +537; +3997;  +454;  -499; -5391;  -542
  +491; +3984;  +608;  -473; -5353;  -541
  +480; +3993;  +659;  -443; -5349;  -534
  +678; +3985;  +860;  -428; -5282;  -537
 +1057; +3938; +1061;  -422; -5234;  -537
 +1127; +3920; +1186;  -395; -5146;  -530
 +1145; +3948; +1236;  -357; -5063;  -527
  +859; +3930; +1356;  -333; -4967;  -528
  +583; +3993; +1325;  -307; -4817;  -509
  +450; +3962; +1327;  -281; -4707;  -521
  +619; +3975; +1281;  -267; -4507;  -483
  +629; +3987; +1117;  -237; -4382;  -495
 +1030; +3931; +1077;  -205; -4173;  -497
 +1051; +3963;  +934;  -121; -4011;  -479
 +1018; +3970;  +847;   -67; -3831;  -503
  +943; +3938;  +836;    +9; -3659;  -482
  +517; +4042;  +869;   +38; -3540;  -482
  +410; +4002;  +739;   +13; -3343;  -467
  +392; +3945;  +543;   +43; -3197;  -457
  +524; +3986;  +551;   +47; -2948;  -450
  +925; +3971;  +441;   +79; -2712;  -455
 +1197; +3979;  +352;  +147; -2467;  -454
