=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:40:49 =~=~=~=~=~=~=~=~=~=~=~=
;    +9;  -565; -2421;  -149
  +893; +3971;   +67;  -558; -2372;  -145
  +948; +3978;  +121;  -539; -2311;  -140
  +949; +3969;  +179;  -523; -2243;  -142
  +917; +3978;  +121;  -542; -2172;  -143
  +922; +3962;  +145;  -540; -2110;  -133
  +896; +3986;  +203;  -565; -2041;  -126
  +912; +3984;  +140;  -554; -1980;  -119
  +898; +3979;  +162;  -530; -1928;  -132
  +899; +3982;  +157;  -513; -1886;  -106
  +928; +3946;  +157;  -522; -1805;  -111
  +917; +3972;  +120;  -519; -1779;  -109
  +936; +3954;  +197;  -512; -1745;  -111
  +936; +3958;  +236;  -504; -1700;   -98
  +919; +3984;  +265;  -474; -1689;   -97
  +917; +3973;  +293;  -491; -1663;   -97
  +909; +3940;  +295;  -477; -1634;   -82
  +890; +3933;  +332;  -492; -1624;  -107
  +916; +3933;  +332;  -503; -1647;   -82
  +899; +3934;  +355;  -484; -1636;   -81
  +920; +3970;  +365;  -478; -1655;   -85
  +956; +3959;  +362;  -471; -1670;   -88
  +934; +3955;  +345;  -464; -1688;   -90
  +931; +3942;  +303;  -462; -1712;   -79
  +902; +3955;  +356;  -454; -1729;   -74
  +905; +3971;  +350;  -456; -1770;   -79
  +902; +3981;  +400;  -446; -1790;   -78
  +916; +3973;  +434;  -430; -1814;   -74
  +946; +3931;  +414;  -433; -1855;   -78
  +908; +3946;  +405;  -441; -1891;   -79
  +948; +3954;  +442;  -455; -1906;   -77
  +920; +3951;  +495;  -443; -1934;   -76
  +916; +3941;  +406;  -424; -1955;   -73
  +923; +3960;  +401;  -424; -1972;   -67
  +913; +3977;  +347;  -415; -1998;   -74
  +920; +3962;  +378;  -412; -2001;   -80
  +935; +3970;  +332;  -416; -2010;   -69
  +935; +3963;  +338;  -406; -2047;   -71
  +923; +3978;  +357;  -400; -2043;   -70
  +935; +3982;  +326;  -387; -2037;   -55
  +965; +3939;  +333;  -392; -2036;   -68
  +931; +3957;  +275;  -388; -2037;   -66
  +942; +3973;  +301;  -381; -2019;   -73
  +914; +3976;  +286;  -389; -2005;   -63
  +905; +3954;  +263;  -386; -1991;   -66
  +934; +3964;  +190;  -367; -1948;   -60
  +929; +3979;  +160;  -363; -1928;   -72
  +953; +3932;  +121;  -363; -1887;   -55
  +939; +3952;  +148;  -353; -1849;   -61
  +960; +3965;  +161;  -337; -1805;   -55
  +937; +3957;  +132;  -328; -1759;   -63
  +917; +3968;  +167;  -334; -1724;   -52
  +946; +3979;  +157;  -341; -1654;   -48
  +949; +3961;  +176;  -341; -1608;   -57
  +950; +3961;  +141;  -328; -1538;   -50
  +977; +3958;  +149;  -323; -1498;   -43
  +947; +3957;  +163;  -307; -1460;   -46
  +945; +3949;  +141;  -305; -1376;   -49
  +928; +3956;  +122;  -297; -1322;   -41
  +942; +3971;  +154;  -285; -1267;   -34
  +964; +3972;  +115;  -281; -1222;   -43
  +947; +3953;  +199;  -265; -1142;   -41
  +960; +3961;  +205;  -261; -1113;   -40
  +960; +3951;  +208;  -254; -1053;   -28
  +943; +3990;  +223;  -256; -1013;   -37
  +966; +3954;  +254;  -253;  -962;   -47
  +957; +3965;  +251;  -234;  -911;   -36
  +947; +3950;  +295;  -237;  -873;   -33
  +951; +3949;  +319;  -219;  -843;   -33
  +944; +3968;  +310;  -207;  -792;   -36
  +954; +3966;  +343;  -214;  -755;   -31
  +956; +3967;  +342;  -204;  -708;   -31
  +967; +3946;  +361;  -199;  -678;   -25
  +958; +3959;  +368;  -185;  -657;   -28
  +977; +3964;  +411;  -170;  -610;   -45
  +964; +3974;  +364;  -170;  -582;   -24
  +971; +3960;  +420;  -165;  -558;   -33
  +958; +3954;  +413;  -154;  -514;   -36
  +959; +3924;  +443;  -140;  -483;   -26
  +950; +3940;  +425;  -132;  -435;   -36
  +974; +3957;  +432;  -124;  -408;   -23
  +968; +3951;  +418;  -117;  -377;   -32
  +981; +3969;  +404;  -100;  -329;   -33
  +988; +3946;  +416;   -94;  -291;   -35
  +983; +3963;  +416;   -86;  -247;   -23
  +982; +3962;  +429;   -66;  -208;   -35
  +939; +3953;  +427;   -71;  -170;   -31
  +967; +3964;  +413;   -65;  -101;   -34
