=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 18:04:34 =~=~=~=~=~=~=~=~=~=~=~=
;  -266;  -130;  -113;   +43
 +1247; +3865;  -214;  -129;  -125;   +41
 +1239; +3860;  -174;  -114;  -127;   +35
 +1311; +3883;  -197;  -149;  -140;   +34
 +1342; +3863;  -265;  -135;  -149;   +32
 +1315; +3874;  -269;  -143;  -160;   +35
 +1325; +3888;  -240;  -162;  -184;   +44
 +1265; +3882;  -182;  -153;  -189;   +36
 +1232; +3861;  -185;  -157;  -211;   +44
 +1244; +3882;  -231;  -148;  -224;   +37
 +1281; +3883;  -326;  -149;  -236;   +40
 +1296; +3889;  -316;  -156;  -264;   +48
 +1267; +3890;  -261;  -162;  -271;   +43
 +1228; +3903;  -258;  -168;  -296;   +40
 +1263; +3889;  -242;  -172;  -316;   +31
 +1259; +3873;  -278;  -201;  -329;   +34
 +1290; +3871;  -265;  -200;  -330;   +49
 +1312; +3828;  -294;  -206;  -340;   +48
 +1285; +3889;  -269;  -202;  -357;   +56
 +1265; +3874;  -293;  -212;  -355;   +24
 +1278; +3891;  -268;  -189;  -363;   +35
 +1287; +3850;  -315;  -200;  -370;   +37
 +1318; +3867;  -310;  -202;  -361;   +46
 +1321; +3860;  -345;  -208;  -351;   +35
 +1289; +3866;  -310;  -196;  -321;   +49
 +1269; +3873;  -315;  -206;  -308;   +40
 +1280; +3876;  -350;  -199;  -269;   +39
 +1299; +3862;  -367;  -201;  -256;   +39
 +1313; +3862;  -344;  -190;  -233;   +39
 +1310; +3854;  -344;  -169;  -199;   +35
 +1283; +3874;  -358;  -158;  -170;   +54
 +1262; +3895;  -332;  -155;  -143;   +43
 +1255; +3868;  -337;  -127;  -113;   +42
 +1296; +3868;  -300;  -138;   -91;   +45
 +1297; +3872;  -341;  -134;   -50;   +32
 +1293; +3876;  -312;  -130;   -29;   +41
 +1274; +3878;  -302;  -129;   +11;   +34
 +1272; +3878;  -277;  -124;   +52;   +33
 +1274; +3867;  -307;  -114;   +74;   +38
 +1305; +3844;  -292;  -115;   +95;   +44
 +1329; +3860;  -294;  -114;  +124;   +42
 +1326; +3863;  -283;  -116;  +152;   +48
 +1312; +3862;  -276;  -102;  +153;   +41
 +1290; +3853;  -255;  -112;  +186;   +24
 +1308; +3879;  -283;  -101;  +192;   +33
 +1308; +3871;  -304;  -101;  +208;   +40
 +1322; +3874;  -277;   -99;  +212;   +24
 +1306; +3869;  -275;   -93;  +225;   +44
 +1296; +3886;  -230;   -87;  +231;   +30
 +1260; +3870;  -263;   -94;  +236;   +35
 +1299; +3883;  -272;   -82;  +232;   +34
 +1351; +3873;  -304;   -82;  +235;   +40
 +1339; +3868;  -303;   -74;  +236;   +36
 +1303; +3843;  -232;   -81;  +233;   +32
 +1283; +3859;  -255;   -87;  +237;   +37
 +1278; +3874;  -231;   -97;  +234;   +33
 +1303; +3875;  -234;   -91;  +232;   +38
 +1342; +3868;  -235;   -84;  +224;   +35
 +1337; +3861;  -245;   -88;  +218;   +32
 +1306; +3876;  -229;   -93;  +203;   +33
 +1327; +3854;  -182;  -104;  +209;   +30
 +1303; +3883;  -235;  -100;  +209;   +39
 +1294; +3876;  -214;  -110;  +218;   +28
 +1322; +3882;  -242;   -96;  +191;   +20
 +1330; +3883;  -226;  -116;  +181;   +29
 +1306; +3853;  -231;  -114;  +179;   +25
 +1300; +3882;  -227;  -111;  +162;   +16
 +1  -172;   -86;    +9;    -6
 +1310; +3890;  -148;   -80;    -9;    -6
 +1315; +3858;  -182;   -93;   -25;    -2
 +1281; +3865;  -190;   -89;   -22;   -14
 +1312; +3871;  -180;   -98;   -43;    +3
 +1313; +3882;  -193;   -95;   -58;    -9
 +1295; +3859;  -243;  -101;   -60;    -7
 +1310; +3874;  -270;  -101;   -57;    -2
 +1319; +3873;  -237;  -101;   -65;    -4
 +1327; +3862;  -245;   -99;   -50;    +7
 +1293; +3855;  -250;   -82;   -42;    +3
 +1324; +3863;  -279;   -75;   -48;    -4
 +1306; +3877;  -258;   -73;   -38;    -9
 +1333; +3873;  -267;   -75;   -24;    -4
 +1302; +3834;  -275;   -71;    -8;    +0
 +1342; +3870;  -220;   -70;   +10;    -3
 +1337; +3846;  -204;   -63;   +11;    -6
 +1334; +3868;  -200;   -58;   +24;    -6
 +1330; +3866;  -211;   -55;   +36;   -11
 +1310; +3863;  -219;   -59;   +50;    -7
 +1303; +3858;  -215;   -52;   +54;    -8
 +1313; +3847;  -216;   -42;   +70;    -7
 +1324; +3852;  -222;   -45;   +76;   -12
 +1332; +3894;  -224;   -47;   +78;    -2
